cvlt_summary_scores,ravlt_summary_scores,hvlt_summary_scores,0,ravlt_summary_scores,hvlt_summary_scores,cvlt_summary_scores,0,hvlt_summary_scores,cvlt_summary_scores,ravlt_summary_scores
0,0,0,,0.0,0,0,,0.0,0,0
1,2,3,,1.0,2,0,,1.0,0,0
2,2,3,,2.0,3,1,,2.0,0,1
3,3,4,,3.0,4,2,,3.0,1,2
4,4,5,,4.0,4,4,,4.0,3,3
5,5,5,,5.0,5,5,,5.0,4,5
6,6,6,,6.0,6,6,,6.0,6,6
7,7,6,,7.0,7,7,,7.0,8,7
8,8,7,,8.0,7,9,,8.0,10,9
9,8,8,,9.0,8,10,,9.0,11,10
10,9,8,,10.0,9,11,,10.0,13,12
11,10,9,,11.0,10,12,,11.0,15,13
12,11,9,,12.0,10,14,,12.0,16+,14+
13,12,10,,13.0,11,15,,,,
14,12,10,,14.0,12+,16+,,,,
15,13,11,,15.0,12+,16+,,,,
16,14+,12+,,,,,,,,
