cvlt_summary_scores,ravlt_summary_scores,hvlt_summary_scores,0,ravlt_summary_scores,hvlt_summary_scores,cvlt_summary_scores,0,hvlt_summary_scores,cvlt_summary_scores,ravlt_summary_scores
0,0,4,,0.0,4,0,,0.0,0,0
1,3,6,,1.0,5,0,,1.0,0,0
2,4,6,,2.0,5,0,,2.0,0,0
3,5,6,,3.0,6,1,,3.0,0,0
4,6,7,,4.0,6,2,,4.0,0,0
5,7,7,,5.0,6,3,,5.0,0,1
6,8,8,,6.0,7,4,,6.0,2,4
7,9,8,,7.0,7,5,,7.0,5,7
8,10,8,,8.0,7,6,,8.0,7,10
9,11,9,,9.0,8,7,,9.0,10,12
10,12,9,,10.0,8,8,,10.0,12,15
11,13,9,,11.0,8,9,,11.0,15,17
12,14,10,,12.0,9,10,,12.0,18,20
13,15,10,,13.0,9,11,,13.0,20,22
14,16,11,,14.0,10,12,,14.0,22,24
15,17,11,,15.0,10,13,,15.0,25,26
16,18,11,,16.0,10,14,,16.0,27,28
17,19,12,,17.0,11,15,,17.0,29,30
18,20,12,,18.0,11,16,,18.0,32,32
19,21,13,,19.0,12,17,,19.0,34,34
20,22,13,,20.0,12,18,,20.0,36,36
21,23,13,,21.0,13,19,,21.0,38,38
22,24,14,,22.0,13,20,,22.0,41,40
23,25,14,,23.0,14,21,,23.0,43,42
24,26,15,,24.0,14,22,,24.0,45,44
25,26,15,,25.0,14,23,,25.0,47,46
26,27,16,,26.0,15,25,,26.0,49,48
27,28,16,,27.0,15,26,,27.0,52,50
28,29,16,,28.0,16,27,,28.0,54,52
29,30,17,,29.0,16,28,,29.0,56,55
30,31,17,,30.0,17,29,,30.0,58,57
31,32,18,,31.0,17,30,,31.0,61,59
32,33,18,,32.0,18,31,,32.0,63,61
33,34,19,,33.0,18,32,,33.0,65,64
34,34,19,,34.0,19,34,,34.0,68,66
35,35,19,,35.0,19,35,,35.0,70,68
36,36,20,,36.0,20,36,,36.0,72+,71+
37,37,20,,37.0,20,37,,,,
38,38,21,,38.0,21,38,,,,
39,39,21,,39.0,21,39,,,,
40,40,22,,40.0,22,40,,,,
41,41,22,,41.0,22,41,,,,
42,42,23,,42.0,23,42,,,,
43,42,23,,43.0,23,44,,,,
44,44,24,,44.0,24,45,,,,
45,44,24,,45.0,24,46,,,,
46,45,24,,46.0,25,47,,,,
47,46,25,,47.0,25,48,,,,
48,47,25,,48.0,26,49,,,,
49,48,26,,49.0,26,50,,,,
50,49,26,,50.0,27,51,,,,
51,50,27,,51.0,27,52,,,,
52,51,27,,52.0,28,53,,,,
53,52,28,,53.0,28,54,,,,
54,53,28,,54.0,29,55,,,,
55,54,28,,55.0,29,56,,,,
56,54,29,,56.0,30,58,,,,
57,56,29,,57.0,30,59,,,,
58,56,30,,58.0,30,60,,,,
59,57,30,,59.0,31,61,,,,
60,58,31,,60.0,31,62,,,,
61,59,31,,61.0,32,63,,,,
62,60,32,,62.0,32,64,,,,
63,61,32,,63.0,33,65,,,,
64,62,32,,64.0,33,66,,,,
65,63,33,,65.0,34,67,,,,
66,64,33,,66.0,34,68,,,,
67,65,34,,67.0,34,68,,,,
68,66,34,,68.0,35,70,,,,
69,67,34,,69.0,35,70,,,,
70,68,35,,70.0,36+,72,,,,
71,70,35,,71.0,36+,72,,,,
72,71,36+,,72.0,36+,73,,,,
73,72,36+,,73.0,36+,74,,,,
74,73,36+,,74.0,36+,75,,,,
75,74,36+,,75.0,36+,76+,,,,
76,75+,36+,,,,,,,,
77,75+,36+,,,,,,,,
78,75+,36+,,,,,,,,
79,75+,36+,,,,,,,,
80,75+,36+,,,,,,,,
